geneID	baseMean	log2FC_Vs-VS	log2FC_vs-Vs	log2FC_vs-VS	log2FC_vs-vS	log2FC_vS-Vs	log2FC_vS-VS	padj_Vs-VS	padj_vs-Vs	padj_vs-VS	padj_vs-vS	padj_vS-Vs	padj_vS-VS
AT3G50360	461.4099632	0.085748662	0.441012941	0.526761603	0.435922709	0.005090232	0.090838894	1	5.48E-07	4.69E-09	1.01E-06	0.96815514	0.419659191
AT3G50370	2084.014141	0.159891658	-0.259203694	-0.099312036	0.016000545	-0.275204239	-0.115312581	1	0.000811437	0.232488686	0.873884864	0.000687392	0.197680909
AT3G50380	1157.681715	-0.050874605	-0.189474194	-0.240348799	0.139470684	-0.328944878	-0.379819483	1	0.015597248	0.002090036	0.096747714	3.98E-05	2.05E-06
AT3G50400	246.5231031	-0.180626498	2.937604064	2.756977566	1.542852192	1.394751872	1.214125375	1	7.96E-101	1.01E-86	4.26E-36	3.40E-21	6.80E-16
AT3G50410	37.10603018	-0.122553683	0.867358717	0.744805034	0.411581212	0.455777505	0.333223822	1	0.00016669	0.001681117	0.079583671	0.086457591	0.236311125
AT3G50420	41.72202381	0.326638116	-0.966887646	-0.64024953	-0.882159611	-0.084728035	0.241910082	1	1.76E-05	0.008132113	0.000133137	0.764352049	0.36691919
AT3G50430	133.5811518	-0.012409169	0.109434114	0.097024945	-0.211837368	0.321271482	0.308862313	1	0.464392638	0.5327195	0.140476797	0.029081176	0.042924611
AT3G50440	276.2402777	0.002127258	3.154991676	3.157118933	2.443760901	0.711230774	0.713358032	1	2.41E-65	4.67E-63	3.58E-42	0.000668138	0.000836814
AT3G50470	23.39654024	-0.345036724	0.656679683	0.311642959	0.513635703	0.14304398	-0.201992745	1	0.037840241	0.349172212	0.117422959	0.73161297	0.610971486
AT3G50480	1912.075927	0.007246714	0.822601973	0.829848686	0.921668963	-0.09906699	-0.091820276	1	3.24E-06	2.83E-06	2.93E-07	0.666602999	0.687582485
AT3G50500	1758.674969	-0.043469224	0.393222278	0.349753054	0.050965039	0.342257239	0.298788015	1	5.27E-08	1.77E-06	0.555006591	6.01E-06	0.000109357
AT3G50520	274.7653536	-0.057451499	-0.110020309	-0.167471807	0.136726154	-0.246746463	-0.304197961	1	0.385558711	0.180449715	0.301311956	0.057820805	0.018876453
AT3G50530	847.3489278	-0.049464172	-0.131144123	-0.180608295	0.123761531	-0.254905654	-0.304369825	1	0.111538226	0.02717749	0.15557436	0.002441626	0.000291144
AT3G50550	116.0842528	-0.094538812	-0.278060777	-0.372599589	0.062155397	-0.340216174	-0.434754986	1	0.077902738	0.017933546	0.745649022	0.043972842	0.00951382
AT3G50560	136.3795055	-0.007065784	-0.075684635	-0.082750419	0.456487877	-0.532172512	-0.539238295	1	0.787750392	0.770954405	0.085196976	0.048379151	0.047528822
AT3G50570	59.46736931	-0.302948823	2.193225099	1.890276275	0.317212828	1.876012271	1.573063447	1	4.97E-22	9.85E-17	0.138504956	2.09E-15	4.05E-11
AT3G50590	2433.814365	-0.013733683	0.433267428	0.419533745	0.457207142	-0.023939713	-0.037673396	1	1.73E-11	1.07E-10	2.26E-12	0.786861508	0.655905646
AT3G50620	227.5455618	0.169098964	0.39099723	0.560096194	-0.007719409	0.398716639	0.567815603	1	0.000650671	1.97E-06	0.957927498	0.000998502	3.92E-06
