gene	SRR1192255	SRR1192256	SRR1192257	SRR1192258	SRR1192259	SRR1192260
AT1G04450	0	0	0	0	0	0
AT1G04453	0	0	0	0	0	0
AT1G04455	0	0	0	0	0	0
AT1G04463	17	12	20	21	25	20
AT1G04467	3	2	3	5	4	0
AT1G04470	0	0	0	1	4	4
AT1G04473	1	0	1	0	0	1
AT1G04477	1	1	1	1	0	2
AT1G04480	1167	913	872	573	632	383
AT1G04483	0	0	0	0	0	0
AT1G04487	2	1	8	12	11	3
AT1G04490	7	14	15	7	5	8
AT1G04493	0	0	0	0	0	0
AT1G04497	0	0	1	0	0	0
AT1G04500	2	1	0	4	7	2
AT1G04503	10	8	29	10	9	6
AT1G04507	2	0	0	2	1	0
AT1G04510	666	693	781	532	597	508
AT1G04513	2	1	0	1	5	3
AT1G04517	0	0	0	0	0	0
AT1G04520	483	476	460	223	334	263
AT1G04523	0	0	0	0	0	0
AT1G04527	0	0	0	0	0	0
AT1G04530	1813	2087	2192	1737	2355	2066
AT1G04533	0	0	0	0	0	0
AT1G04537	6	5	9	4	7	7
AT1G04540	5	7	11	4	3	0
AT1G04547	0	0	0	0	0	0
AT1G04550	426	455	391	315	355	322
AT1G04555	57	55	41	61	63	32
AT1G04557	1	0	0	2	2	0
AT1G04560	0	0	0	0	0	0
AT1G04563	1	0	0	0	0	0
AT1G04567	0	0	1	0	1	1
AT1G04570	70	80	85	72	84	84
AT1G04573	0	0	0	0	0	0
AT1G04577	0	0	0	0	0	0
AT1G04580	0	0	1	2	0	1
AT1G04583	1	0	0	0	0	0
AT1G04587	0	0	0	1	2	0
AT1G04590	353	327	333	207	238	221
AT1G04593	0	0	0	0	0	0
AT1G04597	0	0	0	0	0	0
AT1G04600	4	11	5	2	11	2
AT1G04603	0	0	0	0	0	0
AT1G04607	0	0	0	0	0	0
AT1G04610	7	15	9	3	3	3
AT1G04620	458	537	642	414	480	551
AT1G04623	0	0	0	0	0	0
AT1G04625	0	2	0	0	0	0
AT1G04630	417	422	393	272	288	245
AT1G04635	56	72	74	35	52	51
AT1G04640	982	868	734	694	714	732
AT1G04643	2	5	8	3	4	1
AT1G04645	0	0	0	0	0	0
AT1G04647	9	9	12	17	28	28
AT1G04650	148	119	137	77	114	92
AT1G04653	0	0	0	0	0	0
AT1G04657	0	0	0	0	0	0
AT1G04660	1	0	1	1	2	0
AT1G04667	0	0	0	0	0	0
AT1G04670	0	0	0	0	0	0
AT1G04673	0	0	0	0	0	0
AT1G04677	2	0	0	0	0	0
AT1G04680	1422	1616	1570	1123	1170	1037
AT1G04683	1	0	0	0	0	0
AT1G04687	0	0	0	0	0	0
AT1G04690	1378	1444	1907	1304	1650	1431
AT1G04693	0	0	0	0	0	0
AT1G04697	0	0	0	0	0	0
AT1G04700	60	65	58	102	109	99
AT1G04703	0	0	0	0	0	0
AT1G04707	1	1	4	6	6	5
AT1G04710	396	438	466	407	501	404
AT1G04713	0	0	0	0	2	0
AT1G04717	0	0	0	0	0	0
AT1G04720	0	0	0	0	0	0
AT1G04723	0	2	1	0	1	0
AT1G04730	277	271	300	240	280	214
AT1G04733	1807	792	679	803	978	710
AT1G04737	0	2	1	0	1	1
AT1G04743	2	0	0	0	2	1
AT1G04747	0	0	0	0	0	0
AT1G04750	1004	1042	1052	767	872	777
AT1G04753	0	0	0	0	0	0
AT1G04760	44	35	38	38	47	42
AT1G04763	0	0	0	0	1	0
AT1G04767	0	2	0	1	1	0
AT1G04770	179	175	249	181	223	227
AT1G04773	0	0	0	1	0	1
AT1G04778	10	10	10	3	4	4
AT1G04780	971	1132	1274	1006	1271	1185
AT1G04783	2	0	0	0	0	0
AT1G04787	0	0	0	0	0	0
AT1G04790	507	590	701	490	691	598
AT1G04793	0	0	0	0	0	0
AT1G04797	0	0	0	1	0	0
AT1G04800	510	453	307	191	210	140
AT1G04803	0	0	0	0	0	0
AT1G04807	0	0	0	0	0	0
AT1G04810	1135	1283	1483	1021	1248	1133
AT1G04813	0	0	0	0	0	0
AT1G04817	0	0	0	0	0	0
AT1G04820	3788	4033	3886	1958	2581	2186
AT1G04823	2	1	0	1	0	0
AT1G04827	0	0	0	0	0	0
AT1G04830	155	220	249	298	330	344
AT1G04833	6	7	15	12	13	11
AT1G04837	3	1	11	7	5	5
AT1G04840	49	42	59	32	38	64
AT1G04847	0	0	0	0	0	0
AT1G04850	1239	1444	1318	1025	1235	1064
AT1G04853	0	0	0	0	0	0
AT1G04857	0	0	0	0	0	0
AT1G04860	1036	1024	1114	902	1121	1046
AT1G04863	0	0	0	0	0	0
AT1G04867	0	0	0	0	0	0
AT1G04870	327	327	321	207	235	191
AT1G04873	2	0	2	3	4	0
AT1G04877	0	0	1	1	0	0
AT1G04880	9	7	11	7	6	5
AT1G04883	3	0	0	0	0	0
AT1G04887	0	0	0	0	0	0
AT1G04890	0	0	0	0	0	0
AT1G04893	1	0	0	0	2	0
AT1G04895	0	0	0	0	0	0
AT1G04897	156	144	78	129	237	185
AT1G04900	173	171	172	118	139	109
AT1G04907	416	138	158	177	191	121
AT1G04910	464	510	667	781	990	889
AT1G04913	0	0	0	0	0	0
AT1G04917	7	13	5	5	15	21
AT1G04920	74	56	52	26	39	29
AT1G04923	0	0	0	0	0	0
AT1G04927	0	0	1	0	0	0
AT1G04930	39	48	58	32	53	37
AT1G04933	10	16	15	14	20	31
AT1G04937	0	0	0	0	0	0
AT1G04940	999	906	984	637	720	546
AT1G04943	0	0	0	0	0	0
AT1G04945	86	95	103	65	96	98
AT1G04947	0	0	0	0	0	0
AT1G04950	427	433	435	362	388	328
AT1G04953	1	2	0	2	3	4
AT1G04957	0	1	0	0	0	1
AT1G04960	361	415	544	414	550	517
AT1G04963	0	0	0	0	0	0
AT1G04967	0	0	0	0	0	0
AT1G04970	337	378	493	489	576	422
AT1G04973	0	1	0	0	0	0
AT1G04977	6	3	11	11	10	3
AT1G04980	146	149	121	82	137	82
AT1G04983	0	1	1	2	4	1
AT1G04985	646	663	544	536	625	583
AT1G04987	0	0	0	0	0	0
AT1G04990	162	170	176	180	173	185
AT1G04993	0	0	0	0	0	0
AT1G04997	0	0	0	0	1	1
AT1G05000	27	32	61	45	52	28
AT1G05003	0	0	0	0	0	0
AT1G05005	0	0	0	0	0	0
AT1G05007	0	0	0	0	0	0
AT1G05010	3084	2680	2305	1848	2405	1791
AT1G05013	0	0	0	0	0	0
AT1G05017	0	0	0	0	0	0
AT1G05020	18	16	21	18	17	18
AT1G05023	1	3	0	0	0	0
AT1G05027	0	0	0	0	0	0
AT1G05030	362	347	469	529	633	581
AT1G05033	1	2	2	2	8	2
AT1G05035	1	1	1	0	1	3
AT1G05037	0	0	0	0	0	0
AT1G05040	0	0	0	1	1	0
AT1G05043	0	0	0	0	0	0
AT1G05047	3	1	4	2	4	2
AT1G05053	0	0	0	0	0	0
AT1G05055	213	203	231	251	262	198
AT1G05057	8189	3488	2239	3799	3855	4102
AT1G05060	161	170	161	163	194	155
AT1G05065	23	21	21	23	27	25
AT1G05067	0	0	0	0	0	1
AT1G05070	490	433	327	373	472	437
AT1G05073	0	0	0	0	0	0
AT1G05077	0	0	0	0	0	0
AT1G05080	0	0	0	0	0	0
AT1G05083	0	0	1	0	0	1
AT1G05085	0	0	0	0	0	0
AT1G05087	105	92	161	124	149	160
AT1G05090	155	138	198	210	196	222
AT1G05093	0	0	0	0	0	0
AT1G05097	0	0	0	0	0	0
AT1G05100	5	4	4	4	5	6
AT1G05103	0	0	0	0	0	0
AT1G05107	6	1	2	2	0	1
AT1G05113	0	0	0	0	0	0
AT1G05117	0	0	0	0	0	0
AT1G05120	407	481	453	336	474	389
AT1G05123	0	0	0	0	0	0
AT1G05127	0	0	0	0	0	0
AT1G05133	0	3	0	0	0	0
AT1G05136	0	0	0	0	0	0
AT1G05137	0	0	0	0	0	0
AT1G05140	1257	1424	1679	1715	1878	1506
AT1G05143	0	1	0	0	0	0
AT1G05147	0	0	1	0	1	1
AT1G05150	936	1054	1034	689	773	755
AT1G05153	0	0	0	0	0	0
AT1G05160	232	257	228	864	988	903
AT1G05163	28751	12284	2665	9254	8388	5590
AT1G05170	310	317	434	302	406	369
AT1G05173	0	0	0	0	0	0
AT1G05177	0	0	0	1	0	0
AT1G05180	443	522	599	431	485	466
AT1G05183	9	0	8	4	13	5
AT1G05187	3	0	1	2	3	2
AT1G05190	18285	16698	14429	12396	14344	11549
AT1G05193	0	0	0	0	0	0
AT1G05197	0	0	0	0	0	0
AT1G05200	1591	1839	2597	1656	2228	2008
AT1G05203	1	0	0	1	0	0
AT1G05205	199	179	199	124	160	142
