Gene	tpm_avg
SORBI_3001G013100	42.814106
SORBI_3001G013200	18.8444525
SORBI_3001G013300	4.4347125
SORBI_3001G013400	33.708296
SORBI_3001G013500	14.735826
SORBI_3001G013600	5.0269405
SORBI_3001G013701	0
SORBI_3001G013800	4.1904555
SORBI_3001G013900	2.891966
SORBI_3001G014000	14.264363
SORBI_3001G014100	72.5246575
SORBI_3001G014200	41.926297
SORBI_3001G014300	9.4180195
SORBI_3001G014400	0
SORBI_3001G014500	5.6861655
SORBI_3001G014600	0
SORBI_3001G014700	0
SORBI_3001G014800	78.815643
SORBI_3001G014900	25.0527045
SORBI_3001G015000	0.4580535
SORBI_3001G015100	23.292384
SORBI_3001G015200	23.723047
SORBI_3001G015300	2.9727105
SORBI_3001G015400	20.090244
SORBI_3001G015500	11.7170935
SORBI_3001G015600	1.510301
SORBI_3001G015700	109.3585585
SORBI_3001G015800	19.108359
SORBI_3001G016000	9.7490225
SORBI_3001G016050	0
SORBI_3001G016100	13.4455835
SORBI_3001G016200	44.7206515
SORBI_3001G016201	544.5739555
SORBI_3001G016300	0.087811
SORBI_3001G016350	0
SORBI_3001G016400	215.9918625
SORBI_3001G016500	338.737434
SORBI_3001G016600	9.314273
SORBI_3001G016700	6.5592525
SORBI_3001G016800	5.319596
SORBI_3001G016900	61.035208
SORBI_3001G017000	122.658055
SORBI_3001G017100	42.98121
SORBI_3001G017200	37.363266
SORBI_3001G017300	100.120516
SORBI_3001G017400	0.627299
SORBI_3001G017500	0
SORBI_3001G017600	3.6794775
SORBI_3001G017700	10.5593505
SORBI_3001G017800	4.338549
SORBI_3001G017900	8.8491705
SORBI_3001G018000	21.675754
SORBI_3001G018100	19.1058855
SORBI_3001G018200	6.231277
SORBI_3001G018300	0
SORBI_3001G018350	0
SORBI_3001G018400	0
SORBI_3001G018500	37.452755
SORBI_3001G018550	0
SORBI_3001G018600	0
SORBI_3001G018700	0
SORBI_3001G018800	458.778142
SORBI_3001G018900	544.927374
SORBI_3001G019000	0
SORBI_3001G019100	0.360155
SORBI_3001G019200	11.133602
SORBI_3001G019300	16.2352655
SORBI_3001G019400	13.5818375
SORBI_3001G019500	0.526519
SORBI_3001G019601	0.365236
SORBI_3001G019700	0.648187
SORBI_3001G019800	8.131784
SORBI_3001G019900	9.190913
SORBI_3001G020000	57.3740055
SORBI_3001G020100	34.7528395
SORBI_3001G020200	0.069311
SORBI_3001G020350	0
SORBI_3001G020500	2.8517925
SORBI_3001G020600	19.376361
SORBI_3001G020700	2.0683955
SORBI_3001G020800	0
SORBI_3001G020900	0
SORBI_3001G021000	28.3023305
SORBI_3001G021100	0
SORBI_3001G021200	0
SORBI_3001G021300	41.2895425
SORBI_3001G021400	162.202246
SORBI_3001G021500	165.815251
SORBI_3001G021601	37.175892
SORBI_3001G021700	2.8133155
SORBI_3001G021800	2.5660975
SORBI_3001G021900	0.924934
SORBI_3001G022000	3.044287
SORBI_3001G022100	14.661717
SORBI_3001G022200	3.719495
SORBI_3001G022300	4.7778115
SORBI_3001G022400	10.470588
SORBI_3001G022500	45.0331935
SORBI_3001G022600	23.7070615
SORBI_3001G022700	0
SORBI_3001G022800	40.9020735
SORBI_3001G022900	36.1825385
SORBI_3001G023000	8.3111295
SORBI_3001G023100	56.7636715
SORBI_3001G023200	12.7697345
SORBI_3001G023300	34.9979985
SORBI_3001G023400	8.567676
SORBI_3001G023500	17.1555685
SORBI_3001G023600	0.7044065
SORBI_3001G023700	14.2128315
SORBI_3001G023800	8.8626075
SORBI_3001G023900	89.970282
SORBI_3001G024000	42.358325
SORBI_3001G024100	0.4969345
SORBI_3001G024200	7.8462215
SORBI_3001G024250	0
SORBI_3001G024300	0
SORBI_3001G024400	2.2199935
SORBI_3001G024500	2.04199
SORBI_3001G024700	0.27382
SORBI_3001G024800	0
SORBI_3001G024900	0
SORBI_3001G025000	61.2116665
SORBI_3001G025101	0.1981535
SORBI_3001G025201	0
SORBI_3001G025300	3.7087485
SORBI_3001G025400	43.303244
SORBI_3001G025500	34.11708
SORBI_3001G025600	117.273623
SORBI_3001G025700	9.010828
SORBI_3001G025800	5.6727635
SORBI_3001G025900	3.771655
SORBI_3001G026000	33.2702765
SORBI_3001G026100	0
SORBI_3001G026200	25.6240285
SORBI_3001G026300	0.0908345
SORBI_3001G026400	3.4515055
SORBI_3001G026500	54.778918
SORBI_3001G026600	70.6089465
SORBI_3001G026700	3.3070455
SORBI_3001G026800	12.412998
SORBI_3001G026900	210.7278205
SORBI_3001G026950	0
SORBI_3001G027000	0
SORBI_3001G027100	12.35221
SORBI_3001G027200	0
SORBI_3001G027300	0.6638545
SORBI_3001G027400	0
SORBI_3001G027500	0.436181
SORBI_3001G027600	521.1218175
SORBI_3001G027700	0.4860795
SORBI_3001G027800	2.453198
SORBI_3001G027900	0.326784
SORBI_3001G028000	24.4309915
SORBI_3001G028100	90.661493
SORBI_3001G028200	0.01385
SORBI_3001G028301	0
SORBI_3001G028400	25.692838
SORBI_3001G028500	6.4322885
SORBI_3001G028600	0
SORBI_3001G028700	3.69873
SORBI_3001G028800	3.6663285
SORBI_3001G028900	0.7160675
SORBI_3001G029000	2.7804145
SORBI_3001G029100	12.5508755
SORBI_3001G029200	42.665065
SORBI_3001G029300	0.105501
SORBI_3001G029400	23.0447765
SORBI_3001G029500	0.028038
SORBI_3001G029600	60.798954
SORBI_3001G029700	0.387459
SORBI_3001G029800	35.835183
SORBI_3001G029900	0.4154435
SORBI_3001G030000	37.813447
SORBI_3001G030100	2.245064
SORBI_3001G030200	17.4850605
SORBI_3001G030300	49.2267265
SORBI_3001G030400	12.4175155
SORBI_3001G030500	3.6758925
SORBI_3001G030600	0
SORBI_3001G030800	0
SORBI_3001G030900	0.9725075
SORBI_3001G031000	0
SORBI_3001G031100	68.1990525
SORBI_3001G031200	11.4582925
SORBI_3001G031300	9.2997955
SORBI_3001G031400	3.2082405
SORBI_3001G031500	0.198415
SORBI_3001G031600	27.151379
SORBI_3001G031700	8.8768855
SORBI_3001G031800	2.7403925
SORBI_3001G031900	5.8900655
SORBI_3001G032000	7.179162
SORBI_3001G032100	15.2696805
SORBI_3001G032200	26.006288
SORBI_3001G032300	0.022445
SORBI_3001G032400	0.0852275
SORBI_3001G032550	1.9379775
SORBI_3001G032700	5.2893135
SORBI_3001G032800	38.104494
SORBI_3001G032850	0
SORBI_3001G032900	33.999553
SORBI_3001G033000	5.443715
SORBI_3001G033100	309.6239965
SORBI_3001G033200	9.8586515
SORBI_3001G033300	16.8522265
SORBI_3001G033400	9.9331025
SORBI_3001G033500	9.808364
SORBI_3001G033600	0.655547
SORBI_3001G033701	0
SORBI_3001G033800	0
SORBI_3001G033900	1.375971
SORBI_3001G034000	2.199088
SORBI_3001G034050	0
SORBI_3001G034100	6.277691
SORBI_3001G034200	0
