TXNAME	GENEID
KQL28958	SETIT_017692mg
KQL28959	SETIT_016321mg
KQL28964	SETIT_018220mg
KQL28965	SETIT_020607mg
KQL28966	SETIT_017971mg
KQL28967	SETIT_017971mg
KQL28969	SETIT_018572mg
KQL28970	SETIT_017999mg
KQL28971	SETIT_016403mg
KQL28972	SETIT_018257mg
KQL28973	SETIT_020362mg
KQL28974	SETIT_016423mg
KQL28977	SETIT_016888mg
KQL28976	SETIT_016888mg
KQL28979	SETIT_018590mg
KQL28988	SETIT_016362mg
KQL28989	SETIT_016362mg
KQL28990	SETIT_016362mg
KQL28991	SETIT_016362mg
KQL28993	SETIT_016362mg
KQL28992	SETIT_016362mg
KQL28996	SETIT_017112mg
KQL28997	SETIT_016776mg
KQL28998	SETIT_017559mg
KQL28999	SETIT_018396mg
KQL29002	SETIT_019524mg
KQL29003	SETIT_019518mg
KQL29004	SETIT_018177mg
ENSRNA049910908-T1	ENSRNA049910908
KQL29007	SETIT_016766mg
KQL29008	SETIT_016766mg
KQL29009	SETIT_016766mg
KQL29010	SETIT_019792mg
KQL29013	SETIT_017469mg
KQL29022	SETIT_017296mg
KQL29030	SETIT_019232mg
KQL29031	SETIT_017586mg
KQL29034	SETIT_017424mg
KQL29039	SETIT_017115mg
KQL29045	SETIT_018619mg
KQL29047	SETIT_019639mg
KQL29051	SETIT_019478mg
KQL29052	SETIT_019573mg
KQL29053	SETIT_018628mg
KQL29054	SETIT_019547mg
KQL29055	SETIT_019525mg
KQL29057	SETIT_019577mg
KQL29058	SETIT_019545mg
KQL29059	SETIT_019627mg
KQL29061	SETIT_020078mg
KQL29062	SETIT_016894mg
KQL29063	SETIT_017768mg
KQL29065	SETIT_019867mg
KQL29066	SETIT_016891mg
KQL29069	SETIT_020228mg
KQL29071	SETIT_020471mg
KQL29072	SETIT_016970mg
KQL29073	SETIT_016970mg
KQL29074	SETIT_016970mg
KQL29075	SETIT_017496mg
KQL29076	SETIT_018912mg
KQL29077	SETIT_017664mg
ENSRNA049910910-T1	ENSRNA049910910
KQL29080	SETIT_016737mg
KQL29084	SETIT_020623mg
KQL29085	SETIT_016354mg
KQL29092	SETIT_020613mg
KQL29094	SETIT_019708mg
KQL29095	SETIT_019790mg
ENSRNA049910911-T1	ENSRNA049910911
KQL29099	SETIT_017058mg
KQL29098	SETIT_017058mg
KQL29101	SETIT_016167mg
KQL29102	SETIT_016866mg
KQL29104	SETIT_018926mg
KQL29106	SETIT_019108mg
KQL29111	SETIT_019407mg
KQL29112	SETIT_016448mg
KQL29114	SETIT_016062mg
KQL29115	SETIT_016626mg
KQL29116	SETIT_0202062mg
KQL29117	SETIT_0202061mg
KQL29118	SETIT_017986mg
