Gene	tpm_avg
SETIT_000245mg	69.748712
SETIT_000246mg	28.56517
SETIT_000247mg	49.3620695
SETIT_0002481mg	4.8627875
SETIT_000250mg	0.3864095
SETIT_000251mg	8.979109
SETIT_000252mg	0.928394
SETIT_000254mg	9.672946
SETIT_000255mg	15.401274
SETIT_000256mg	73.95261
SETIT_000257mg	0.197424
SETIT_000258mg	18.1744555
SETIT_000259mg	2.879646
SETIT_000260mg	2.577243
SETIT_000261mg	0.253888
SETIT_000262mg	51.9257775
SETIT_000263mg	13.793839
SETIT_000264mg	163.546162
SETIT_000265mg	3.609916
SETIT_000266mg	12.317852
SETIT_000267mg	1.8885935
SETIT_000268mg	0.2103125
SETIT_000269mg	6.516431
SETIT_000270mg	0.110032
SETIT_000271mg	0.211139
SETIT_000272mg	20.0417265
SETIT_000273mg	12.8035645
SETIT_000274mg	2.9549315
SETIT_000275mg	5.3181865
SETIT_000276mg	0.0448225
SETIT_000277mg	0.209207
SETIT_000278mg	0
SETIT_000279mg	2.549212
SETIT_000280mg	1.601598
SETIT_000281mg	30.6107715
SETIT_000282mg	6.357487
SETIT_000283mg	1.7232675
SETIT_000284mg	0.4611895
SETIT_000285mg	0.182959
SETIT_000286mg	13.77966
SETIT_000287mg	20.4243625
SETIT_000288mg	9.5418645
SETIT_000290mg	67.153624
SETIT_000291mg	3.933222
SETIT_000292mg	0.0942945
SETIT_000293mg	1.7936455
SETIT_000294mg	2.5708035
SETIT_000295mg	29.676351
SETIT_000296mg	3.880866
SETIT_000298mg	172.9861785
SETIT_000299mg	19.4153595
SETIT_000300mg	19.0967065
SETIT_000302mg	22.8033645
SETIT_000304mg	81.201865
SETIT_000305mg	97.4346035
SETIT_000306mg	26.36542
SETIT_000307mg	5.3704585
SETIT_000309mg	42.1268415
SETIT_000310mg	0
SETIT_000312mg	10.952376
SETIT_000313mg	10.3711495
SETIT_000314mg	3.922095
SETIT_000315mg	24.557418
SETIT_000316mg	0.5726595
SETIT_000317mg	8.907249
SETIT_000318mg	3.5057165
SETIT_000320mg	7.52129
SETIT_000322mg	51.944725
SETIT_000325mg	1.0035745
SETIT_000326mg	80.090705
SETIT_0003271mg	40.1844055
SETIT_0003272mg	24.9320285
SETIT_000328mg	2.4271035
SETIT_000329mg	32.6422285
SETIT_000330mg	1.1700515
SETIT_0003321mg	0.128084
SETIT_0003322mg	0.4570395
SETIT_000333mg	2.8221085
SETIT_000334mg	13.243725
SETIT_000335mg	4.935621
SETIT_000337mg	77.2940445
SETIT_000338mg	23.7875365
SETIT_000339mg	3.5457595
SETIT_000340mg	61.212971
SETIT_000341mg	0.299186
SETIT_000342mg	11.626848
SETIT_000344mg	53.858982
SETIT_000345mg	32.8176855
SETIT_000346mg	3.695162
SETIT_000348mg	3.6730885
SETIT_000349mg	3.267455
SETIT_000350mg	0.8921135
SETIT_000351mg	54.123332
SETIT_000352mg	7.071046
SETIT_000353mg	20.6006335
SETIT_000354mg	245.581099
SETIT_000355mg	3.736524
SETIT_000356mg	88.0317035
SETIT_000357mg	34.118481
SETIT_000360mg	0
SETIT_000361mg	14.4892775
SETIT_000363mg	34.913733
SETIT_000364mg	32.2430015
SETIT_000365mg	7.166436
SETIT_000366mg	0.3190805
SETIT_000367mg	38.977321
SETIT_000369mg	53.8280385
SETIT_000371mg	6.425666
SETIT_000372mg	0.988661
SETIT_000373mg	15.1158405
SETIT_000374mg	8.722482
SETIT_000375mg	20.479462
SETIT_000377mg	0.407404
SETIT_000378mg	122.593162
SETIT_000379mg	19.2254505
SETIT_000380mg	11.0305565
SETIT_000381mg	2.17451
SETIT_000383mg	53.3500685
SETIT_000384mg	47.77905
SETIT_000386mg	9.21081
SETIT_000389mg	132.1101615
SETIT_000390mg	0
SETIT_000391mg	5.0884715
SETIT_000392mg	0.5264565
SETIT_000393mg	28.044051
SETIT_000394mg	49.270213
SETIT_000395mg	0.0559095
SETIT_000397mg	10.7847145
SETIT_000399mg	24.381214
SETIT_000400mg	0.4927955
SETIT_000401mg	0.149519
SETIT_000402mg	5.906873
SETIT_000403mg	14.267468
SETIT_000404mg	21.5297965
SETIT_000405mg	4.1567195
SETIT_000406mg	0.250952
SETIT_000407mg	25.076541
SETIT_000408mg	0.0169905
SETIT_000409mg	0
SETIT_000410mg	1.1198525
SETIT_000412mg	7.611624
SETIT_000413mg	16.1202455
SETIT_000414mg	3.913817
SETIT_000416mg	21.961433
SETIT_000418mg	28.6185225
SETIT_000421mg	0.5514765
SETIT_000422mg	14.071258
SETIT_000423mg	0
SETIT_000424mg	88.5490385
SETIT_000425mg	3.349476
SETIT_000426mg	28.519927
SETIT_000427mg	0.6845395
SETIT_000428mg	42.3939965
SETIT_000429mg	35.906629
SETIT_000430mg	14.4162245
SETIT_000431mg	9.891437
SETIT_000432mg	2.297568
SETIT_000433mg	0.11443
SETIT_000435mg	27.422318
SETIT_000436mg	10.878129
SETIT_000438mg	1.8697125
SETIT_000439mg	0.7605475
SETIT_000441mg	1.6692685
SETIT_000443mg	29.0737555
SETIT_000444mg	5.9947105
SETIT_000445mg	0.502172
SETIT_000446mg	22.609852
SETIT_000447mg	54.3503565
SETIT_000449mg	1.7243085
SETIT_000450mg	30.345846
SETIT_000451mg	314.586635
SETIT_000452mg	16.4778965
SETIT_000453mg	30.98742
SETIT_00045410mg	0
SETIT_00045411mg	0
SETIT_00045412mg	24.9697615
SETIT_0004541mg	2.1836
SETIT_0004542mg	11.656799
SETIT_0004543mg	0
SETIT_0004545mg	0
SETIT_0004546mg	12.587679
SETIT_0004547mg	43.7267165
SETIT_0004548mg	0
SETIT_0004549mg	297.081552
SETIT_000455mg	3.295969
SETIT_000456mg	27.895696
SETIT_000458mg	3.3666735
SETIT_000460mg	3.4660905
SETIT_000462mg	2.028448
SETIT_000463mg	9.664836
SETIT_000465mg	33.106291
SETIT_000468mg	5.8789195
SETIT_000469mg	3.567374
